نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا,سكني, الرياض , حي السعادة ,غربية,312,-,5,2,5+,15,1,1,0,0,1,1,0,0,1,1,1550000
فيلا,سكني, الرياض , حي الملقا ,جنوبية,343,-,5,2,5+,15,1,1,1,1,0,1,0,0,1,1,4600000
أرض,سكني, الرياض , حي القادسية ,شمالية,450,2800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1260000
فيلا,سكني, الرياض , حي ظهرة لبن ,جنوبية غربية,240,-,2,2,4,26,0,1,1,0,1,0,0,0,0,0,950000
فيلا,سكني, الرياض , حي النهضة ,غربية,417,-,5,1,4,-,0,1,0,1,1,1,0,0,1,0,2500000
أرض,سكني, الرياض , حي البرية ,غربية,378,1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,378000
أرض,سكني, الرياض , حي ضاحية نمار ,شمالية,437,1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568100
أرض,سكني, الرياض , حي حطين ,شمالية غربية,4000,1455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5820000
أرض,سكني, الرياض , حي المهدية ,جنوبية,320,2875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,920000
أرض,تجاري وسكني, الرياض , حي القدس ,شرقية,750,5300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3975000
فيلا,سكني, الرياض , حي الملقا ,شرقية,480,-,6,2,5+,-,1,1,1,1,1,1,0,0,1,1,5500000
فيلا,سكني, الرياض , حي اليرموك ,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2500000
فيلا,سكني, الرياض , حي غرناطة ,شمالية غربية,840,-,5,2,5+,-,0,1,0,0,0,0,0,0,1,0,4000000
أرض,سكني, الرياض , حي النرجس ,شمالية غربية,425,4250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1806250
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,450,3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1350000
فيلا,سكني, الرياض , حي النرجس ,شمالية,330,-,5,2,5+,15,0,1,1,1,0,0,0,0,1,0,3300000
